Interstellar,2014,Christopher Nolan,169m,Sci-fi/Adventure,Interstellar.jpg
Gladiator,2000,Ridley Scott,155m,Action/Adventure,Gladiator.jpg
Dune: Part Two,2024,Denis Villeneuve,166m,Sci-fi/Adventure,Dune_Part_Two.jpg
Django Unchained,2012,Quentin Tarantino,165m,Western/Action,Django_Unchained.jpg
Inglourious Basterds,2009,Quentin Tarantino,153m,War/Adventure,Inglourious_Basterds.jpg
The Batman,2022,Matt Reeves,176m,Action/Crime,The_Batman.jpg
Surf's Up,2007,Ash Brannon,85m,Family/Comedy,Surf's_Up.jpg
